"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2021-07-21","'3132DWAW3'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"36024398275.92",,,,,,""
"2021-07-21","'31418DV74'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"33521055683.94",,,,,,""
"2021-07-21","'3140J8GV9'","MBS","UMBS MORTPASS 3% 07/47","30yr",,,,,"29965816708.53",,,,,,"Y"
"2021-07-21","'3132DWAN3'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"29491616203.55",,,,,,""
"2021-07-21","'3132DWBP7'","MBS","UMBS MORTPASS 2% 05/51","30yr",,,,,"29437800506.63",,,,,,""
"2021-07-21","'31418DWR9'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"27650527777.26",,,,,,""
"2021-07-21","'31418DYX4'","MBS","UMBS MORTPASS 2% 05/51","30yr",,,,,"27146501184.59",,,,,,""
"2021-07-21","'3132DWBB8'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"25979336627.58",,,,,,""
"2021-07-21","'3132DWA52'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"25817436532.01",,,,,,""
"2021-07-21","'31418DQH8'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"23081586442.85",,,,,,""
"2021-07-21","'3132DWAF0'","MBS","UMBS MORTPASS 2% 11/50","30yr",,,,,"22709817803.8",,,,,,""
"2021-07-21","'31418DVA7'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"21901748268.68",,,,,,""
"2021-07-21","'3132DV7K5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"21563383939.63",,,,,,""
"2021-07-21","'3132DWBH5'","MBS","UMBS MORTPASS 2% 04/51","30yr",,,,,"21117597270.25",,,,,,""
"2021-07-21","'31418DTQ5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"20609830961.07",,,,,,""
"2021-07-21","'31418DZV7'","MBS","UMBS MORTPASS 2% 06/51","30yr",,,,,"20536459356.53",,,,,,""
"2021-07-21","'31335BPS9'","MBS","FHLMCGLD 3% 02/47","30yr",,,,,"20514438327.66",,,,,,"Y"
"2021-07-21","'36179WBX5'","MBS","GNMA II MORTPASS 2% 03/51","30yr",,,,,"20437298345.28",,,,,,""
"2021-07-21","'36179VTW0'","MBS","GNMA II 2.5% 09/50","30yr",,,,,"20367797352.08",,,,,,""
"2021-07-21","'3132DWB51'","MBS","UMBS MORTPASS 2% 08/51","30yr",,,,,"18026057332",,,,,,""
"2021-07-21","'36179V7D6'","MBS","GNMA II MORTPASS 2% 02/51","30yr",,,,,"17989297672.38",,,,,,""
"2021-07-21","'3138EQK35'","MBS","UMBS MORTPASS 3% 08/43","30yr",,,,,"17958678343.9",,,,,,"Y"
"2021-07-21","'31418DQ88'","MBS","UMBS MORTPASS 2.5% 07/50","30yr",,,,,"17851664086.56",,,,,,""
"2021-07-21","'36179WDQ8'","MBS","GNMA II MORTPASS 2% 04/51","30yr",,,,,"17465962618.74",,,,,,""
"2021-07-21","'3138EQKR2'","MBS","UMBS MORTPASS 3% 07/43","30yr",,,,,"17361446916",,,,,,"Y"
"2021-07-21","'36179VSG6'","MBS","GNMA II 2.5% 08/50","30yr",,,,,"17267745766.03",,,,,,""
"2021-07-21","'3132DV6U4'","MBS","UMBS MORTPASS 2.5% 08/50","30yr",,,,,"16829929235.84",,,,,,""
"2021-07-21","'31418DZW5'","MBS","UMBS MORTPASS 2.5% 06/51","30yr",,,,,"16800673994.49",,,,,,""
"2021-07-21","'36179VZQ6'","MBS","GNMA II MORTPASS 2% 12/50","30yr",,,,,"16711669389.62",,,,,,""
"2021-07-21","'31418DPD8'","MBS","UMBS MORTPASS 2.5% 05/50","30yr",,,,,"16574898100.41",,,,,,""
"2021-07-21","'31418D2M3'","MBS","UMBS MORTPASS 2.5% 07/51","30yr",,,,,"16526016500.4",,,,,,""
"2021-07-21","'31418D2L5'","MBS","UMBS MORTPASS 2% 07/51","30yr",,,,,"16356573771.9",,,,,,""
"2021-07-21","'36179V4U1'","MBS","GNMA II MORTPASS 2% 01/51","30yr",,,,,"16018888464.16",,,,,,""
"2021-07-21","'31418DYB2'","MBS","UMBS MORTPASS 2% 04/51","30yr",,,,,"15997984460.66",,,,,,""
"2021-07-21","'3132DWBZ5'","MBS","UMBS MORTPASS 2.5% 07/51","30yr",,,,,"15972116521.23",,,,,,""
"2021-07-21","'3132DV7A7'","MBS","UMBS MORTPASS 2.5% 07/50","30yr",,,,,"15738473869.46",,,,,,""
"2021-07-21","'3138ETKF2'","MBS","UMBS MORTPASS 3% 02/44","30yr",,,,,"15645600363.43",,,,,,"Y"
"2021-07-21","'3132DV5W1'","MBS","UMBS MORTPASS 2.5% 05/50","30yr",,,,,"15644727185.62",,,,,,""
"2021-07-21","'3132DWBU6'","MBS","UMBS MORTPASS 2.5% 06/51","30yr",,,,,"15472809540.67",,,,,,""
"2021-07-21","'36179VMC1'","MBS","GNMA II 2.5% 05/50","30yr",,,,,"14850564074.01",,,,,,""
"2021-07-21","'3132DWBY8'","MBS","UMBS MORTPASS 2% 07/51","30yr",,,,,"14702373784.41",,,,,,""
"2021-07-21","'31418DXK3'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"14042826801.08",,,,,,""
"2021-07-21","'31418DSJ2'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"13392717281.22",,,,,,""
"2021-07-21","'36179VXX3'","MBS","GNMA II MORTPASS 2% 11/50","30yr",,,,,"12961103952.31",,,,,,""
"2021-07-21","'36179VQS2'","MBS","GNMA II 2.5% 07/50","30yr",,,,,"12654091341.15",,,,,,""
"2021-07-21","'3132DV6C4'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"12634539689.14",,,,,,""
"2021-07-21","'36179WFG8'","MBS","GNMA II 2.5% 05/51","30yr",,,,,"12211882523.07",,,,,,""
"2021-07-21","'36179VZR4'","MBS","GNMA II 2.5% 12/50","30yr",,,,,"12055788316.11",,,,,,""
"2021-07-21","'3132DWBT9'","MBS","UMBS MORTPASS 2% 06/51","30yr",,,,,"11741197669.65",,,,,,""
"2021-07-21","'31335BKR6'","MBS","FHLMCGLD 3.5% 06/46","30yr",,,,,"11717629987.89",,,,,,"Y"
"2021-07-21","'36179VN22'","MBS","GNMA II 2.5% 06/50","30yr",,,,,"11706213967.8",,,,,,""
"2021-07-21","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"10851232366.42",,,,,,"Y"
"2021-07-21","'3132DWBA0'","MBS","UMBS MORTPASS 1.5% 03/51","30yr",,,,,"10630179868.02",,,,,,""
"2021-07-21","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"10444848939.97",,,,,,"Y"
"2021-07-21","'3132DWBG7'","MBS","UMBS MORTPASS 1.5% 04/51","30yr",,,,,"10428083864.19",,,,,,""
