"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2021-06-30","'36297AEU3'","MBS","GNMA I MORTPASS 4% 08/39","30yr",,,,,"1381.52",,,,,,""
"2021-06-30","'31414QJF5'","MBS","UMBS MORTPASS 6% 03/38","30yr",,,,,"1377.06",,,,,,""
"2021-06-30","'31417AWP0'","MBS","UMBS MORTPASS 2.5% 01/22","Other",,,,,"1374.76",,,,,,""
"2021-06-30","'36296MS90'","MBS","GNMA I MORTPASS 6% 09/38","30yr",,,,,"1357.12",,,,,,""
"2021-06-30","'3128MMJK0'","MBS","FHLMCGLD 5.5% 07/23","15yr",,,,,"1354.76",,,,,,""
"2021-06-30","'36297ECQ6'","MBS","GNMA I 5.5% 09/39","30yr",,,,,"1348.42",,,,,,""
"2021-06-30","'3128MCWR2'","MBS","FHLMCGLD 4% 08/25","15yr",,,,,"1347.21",,,,,,""
"2021-06-30","'36202D2S9'","MBS","GNMA II MORTPASS 4% 11/33","30yr",,,,,"1347.15",,,,,,""
"2021-06-30","'31412TFZ1'","MBS","UMBS MORTPASS 6.5% 06/38","30yr",,,,,"1344.51",,,,,,""
"2021-06-30","'3620C6LQ6'","MBS","GNMA I MORTPASS 4% 10/40","30yr",,,,,"1339.78",,,,,,""
"2021-06-30","'3128PFVP7'","MBS","FHLMCGLD 5% 01/22","15yr",,,,,"1332.6",,,,,,""
"2021-06-30","'36295HR77'","MBS","GNMA I 5.5% 08/37","30yr",,,,,"1329.83",,,,,,""
"2021-06-30","'36291LKN4'","MBS","GNMA I MORTPASS 5% 08/35","30yr",,,,,"1328.93",,,,,,""
"2021-06-30","'3128MDHY2'","MBS","FHLMCGLD 3.5% 06/22","15yr",,,,,"1300.89",,,,,,""
"2021-06-30","'31413TTQ5'","MBS","UMBS MORTPASS 5% 11/22","15yr",,,,,"1274.92",,,,,,""
"2021-06-30","'3128PXXJ0'","MBS","FHLMCGLD 3% 02/22","15yr",,,,,"1271.84",,,,,,""
"2021-06-30","'31415RYB4'","MBS","UMBS MORTPASS 6.5% 07/38","30yr",,,,,"1267.6",,,,,,""
"2021-06-30","'31416YUL0'","MBS","UMBS MORTPASS 3% 07/21","Other",,,,,"1265.16",,,,,,""
