GNR 1999-004 , 1 , 0.12290230114375555 , 0.12271559911563468 , 0.12185669355884698 , 0.121707710824552 , 0.0011778852943739038 , 0.0011352174122339909
GNR 1999-004 , 2 , 0.12679245764142177 , 0.12592133522190685 , 0.12110146662172827 , 0.12092498072892999 , 0.0064060630930747875 , 0.005623088400965592
GNR 1999-007 , A , 0.23561918447489594 , 0.23555016972768794 , 0.23485512934499952 , 0.23478636064061476 , 0.000976556519828975 , 0.0009761616167639486
GNR 1999-007 , B , 0.12520106284848243 , 0.12515031835494184 , 0.12395975574556528 , 0.12391944492236817 , 0.0014014209841111125 , 0.00138958279419088
GNR 1999-027 , 1 , 0.13982672819167818 , 0.13900358048391148 , 0.1348996463005976 , 0.134610465901857 , 0.005627201511677171 , 0.00501580509366828
GNR 1999-027 , 4 , 0.14101540377580113 , 0.1409581170170956 , 0.138693277490612 , 0.13864663846358727 , 0.002662754492930852 , 0.0026504131058008307
GNR 1999-027 , 5 , 0.12270754846969067 , 0.1226061960579985 , 0.12079651596004304 , 0.12071150402335928 , 0.0021504239019691784 , 0.0021318473197003973
GNR 1999-027 , 8 , 0.18425212762318777 , 0.1820200975252012 , 0.14059834169970853 , 0.14013871284736368 , 0.05017314614277779 , 0.04811181581680679
GNR 1999-027 , 9 , 0.12059106336771586 , 0.12053342268661205 , 0.1196725516613063 , 0.1196144614196939 , 0.0010323564319341116 , 0.001032799240686777
GNR 2001-009 , T , 0.1435498260220578 , 0.1408380519142891 , 0.11612240107642846 , 0.11596808093989175 , 0.030717758163026354 , 0.02784864984830948
GNR 2001-024 , 1 , 0.13553853197736743 , 0.13229084650461798 , 0.11377868421821291 , 0.11373990386318644 , 0.02431036982536028 , 0.020724159167497813
GNR 2001-025 , 1 , 0.13534843638534566 , 0.13211375933855585 , 0.11364161129277972 , 0.11360500795845085 , 0.024247683673451537 , 0.020674133343715373
GNR 2001-035 , 1 , 0.13908662627785784 , 0.1374754884673436 , 0.1263857197388627 , 0.12622338667844524 , 0.014376644901159197 , 0.012734407179420093
GNR 2001-035 , 2 , 0.11555586130013296 , 0.11555021422334766 , 0.11469047785383457 , 0.11468519132370747 , 0.0009676240970852845 , 0.0009672156572890778
GNR 2001-060 , 1 , 0.13772214872755406 , 0.13663445919333983 , 0.12871600361295799 , 0.12854608889417696 , 0.010219181038852443 , 0.00917609929542873
GNR 2001-060 , 2 , 0.137722639132411 , 0.13663503809109256 , 0.12871696922336795 , 0.12854705727494764 , 0.010218652184820431 , 0.009175666763545864
GNR 2001-060 , 3 , 0.13338325430210962 , 0.13215052201789135 , 0.12326407190518884 , 0.12311039457961737 , 0.011416706599325366 , 0.010197588147815018
GNR 2001-061 , 1 , 0.12201202305090708 , 0.12171133844776039 , 0.11795636262713538 , 0.11788810764817548 , 0.004550284574144192 , 0.004289198354167634
GNR 2001-061 , 3 , 0.13840361678016533 , 0.13681425187401042 , 0.12734448855802016 , 0.12714240970047985 , 0.012530745153336853 , 0.01095643779236477
GNR 2002-013 , 1 , 0.13357072116463187 , 0.13350290113595042 , 0.13270998226648834 , 0.13264321735877715 , 0.000980745766123281 , 0.000979474409920078
GNR 2002-013 , 2 , 0.13038829513215444 , 0.12897403068085933 , 0.12278610412626434 , 0.12262825543945266 , 0.00857256635026249 , 0.007154544624484616
GNR 2002-013 , 3 , 0.24921037276524272 , 0.2445797741093758 , 0.22044534428423657 , 0.2197770234997528 , 0.03615416731248744 , 0.03114801509458731
GNR 2002-015 , 2 , 0.11289689539996439 , 0.11285507918590587 , 0.1122768473043092 , 0.11223500675176168 , 0.0006915745456080868 , 0.0006915718117026515
GNR 2002-015 , 4 , 0.19297605824590391 , 0.19238899092746664 , 0.18938429720483785 , 0.18932088403210212 , 0.0043542062439105855 , 0.003719106910977099
GNR 2002-032 , 2 , 0.13650026524158854 , 0.13523558377496192 , 0.1258893846547604 , 0.12574248570839763 , 0.012004459912432597 , 0.010738147671781717
GNR 2002-032 , 3 , 0.12620945004995565 , 0.12576805096235155 , 0.12304632205158916 , 0.12296765711815771 , 0.0035677629417951717 , 0.0031583606883315296
GNR 2002-032 , 4 , 0.1323487715060908 , 0.13201762349543 , 0.12769311636640446 , 0.12752726274749104 , 0.0052769056332552244 , 0.005088662240367636
GNR 2002-039 , 1 , 0.13531094777247732 , 0.13406045757711238 , 0.12551867477225254 , 0.12537943185957046 , 0.011073979793535527 , 0.00981578437478925
GNR 2002-039 , 2 , 0.13131561767164346 , 0.13067732934402654 , 0.1275075431103908 , 0.1273920999455329 , 0.004315360385437006 , 0.00372240219075759
